Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO,Year
New York Rangers*,29.4,82,53,22,7,113,0.689,252,192,4,5,0.69,-0.04,5.41,200,139,39,232,16.81,37,235,84.26,9,6,8.5,8,2582,9.6,2418,0.923,101.7,2015
Montreal Canadiens*,28.4,82,50,22,10,110,0.671,221,189,7,5,0.36,-0.03,5,167,132,40,242,16.53,42,257,83.66,7,4,10,9.1,2334,9.2,2470,0.926,101.3,2015
St. Louis Blues*,28.3,82,51,24,7,109,0.665,248,201,9,4,0.59,0.02,5.48,181,143,56,251,22.31,42,257,83.66,2,5,10.9,10.3,2535,9.4,2233,0.912,100.3,2015
Anaheim Ducks*,27,82,51,24,7,109,0.665,236,226,8,5,0.1,-0.03,5.63,182,154,37,236,15.68,52,274,81.02,9,6,10.7,9.6,2458,9.3,2367,0.907,100.2,2015
Tampa Bay Lightning*,26.9,82,50,24,8,108,0.659,262,211,3,5,0.57,-0.06,5.77,199,149,53,282,18.79,42,257,83.66,7,6,9.7,10.3,2428,10.7,2287,0.91,100.8,2015
Nashville Predators*,28.4,82,47,25,10,104,0.634,232,208,6,6,0.33,0.03,5.37,180,138,42,259,16.22,45,234,80.77,4,5,8.3,8.9,2614,8.6,2317,0.913,101,2015
Chicago Blackhawks*,29.3,82,48,28,6,102,0.622,229,189,9,3,0.51,0.02,5.1,171,133,46,260,17.69,35,211,83.41,3,7,7,8.6,2777,7.9,2477,0.925,100.3,2015
Vancouver Canucks*,29.4,82,48,29,5,101,0.616,242,222,6,2,0.2,-0.05,5.66,184,166,46,238,19.33,38,266,85.71,6,2,10.5,9.5,2453,9.6,2446,0.91,99.5,2015
New York Islanders*,27.3,82,47,28,7,101,0.616,252,230,7,6,0.26,-0.01,5.88,185,165,50,267,18.73,48,217,77.88,10,3,8.3,9.2,2771,8.8,2321,0.903,99.4,2015
Washington Capitals*,28.1,82,45,26,11,101,0.616,242,203,5,4,0.44,-0.03,5.43,173,143,60,237,25.32,50,266,81.2,4,4,10.3,10.2,2419,9.8,2368,0.916,100.3,2015
Detroit Red Wings*,28.9,82,43,25,14,100,0.61,235,221,4,10,0.14,-0.03,5.56,158,139,70,294,23.81,55,288,80.9,3,8,8.6,9.6,2429,9.5,2322,0.909,100,2015
Minnesota Wild*,27.7,82,46,28,8,100,0.61,231,201,4,3,0.39,0.03,5.27,184,160,39,246,15.85,32,234,86.32,4,3,8.7,9.6,2522,9,2265,0.913,100.2,2015
Winnipeg Jets*,27.3,82,43,26,13,99,0.604,230,210,7,6,0.29,0.04,5.37,165,136,48,269,17.84,56,308,81.82,10,5,12.9,11.5,2439,9.1,2350,0.913,100.8,2015
